Transaction_ID,Date,Description,Category,Transaction_Type,Amount_BDT,Payment_Mode,City
TXN0001,2025-09-01,Monthly Salary,Salary,Income,65000,Bank Transfer,Dhaka
TXN0002,2025-09-01,Rent Payment,Housing,Expense,15000,Bank Transfer,Dhaka
TXN0003,2025-09-01,Send Money to Mother,Family,Expense,5000,bKash,Dhaka
TXN0004,2025-09-02,DESCO Electricity Bill,Utilities,Expense,1450,bKash,Dhaka
TXN0005,2025-09-02,WASA Water Bill,Utilities,Expense,550,bKash,Dhaka
TXN0006,2025-09-03,Link3 Internet Bill,Utilities,Expense,1100,bKash,Dhaka
TXN0007,2025-09-03,Grameenphone Mobile Recharge,Utilities,Expense,299,bKash,Dhaka
TXN0008,2025-09-04,MRT Pass Recharge,Transport,Expense,500,bKash,Dhaka
TXN0009,2025-09-04,Rickshaw Fare to Metro Station,Transport,Expense,60,Cash,Dhaka
TXN0010,2025-09-05,Office Lunch at Tong,Food & Drinks,Expense,120,Cash,Dhaka
TXN0011,2025-09-05,Evening CNG Auto Rickshaw,Transport,Expense,150,Cash,Dhaka
TXN0012,2025-09-06,Shwapno Weekly Grocery,Groceries,Expense,1850,Card,Dhaka
TXN0013,2025-09-06,bKash Cash Out Charge,Fees,Expense,15,bKash,Dhaka
TXN0014,2025-09-07,Sultan's Dine Family Dinner,Dining,Expense,1450,Card,Dhaka
TXN0015,2025-09-07,Pathao Food Delivery,Dining,Expense,350,bKash,Dhaka
TXN0016,2025-09-08,Morning Tea and Singara,Food & Drinks,Expense,30,Cash,Dhaka
TXN0017,2025-09-08,Uber Moto to Office,Transport,Expense,85,bKash,Dhaka
TXN0018,2025-09-09,Lunch at Local Restaurant,Food & Drinks,Expense,180,bKash,Dhaka
TXN0019,2025-09-09,Evening Fuchka and Jhal Muri,Food & Drinks,Expense,50,Cash,Dhaka
TXN0020,2025-09-10,Rickshaw Fare from Metro,Transport,Expense,60,Cash,Dhaka
TXN0021,2025-09-11,Star Kabab Dinner,Dining,Expense,450,Card,Dhaka
TXN0022,2025-09-12,Meena Bazar Groceries,Groceries,Expense,1200,Card,Dhaka
TXN0023,2025-09-13,Chillox Burger and Fries,Dining,Expense,320,bKash,Dhaka
TXN0024,2025-09-14,Weekend Tea Stall Adda,Food & Drinks,Expense,80,Cash,Dhaka
TXN0025,2025-09-15,Freelance Project Payment,Freelance,Income,12000,Bank Transfer,Dhaka
TXN0026,2025-09-15,Daraz Order - Electronics,Shopping,Expense,2500,bKash,Dhaka
TXN0027,2025-09-16,Uber Car to Client Meeting,Transport,Expense,450,Card,Dhaka
TXN0028,2025-09-17,Office Canteen Lunch,Food & Drinks,Expense,100,Cash,Dhaka
TXN0029,2025-09-18,Evening Walk and Juice,Food & Drinks,Expense,120,bKash,Dhaka
TXN0030,2025-09-19,Takeout Chicken Biryani,Dining,Expense,280,bKash,Dhaka
TXN0031,2025-09-20,Kacchi Bhai Weekend Feast,Dining,Expense,550,Card,Dhaka
TXN0032,2025-09-21,Bashundhara City Shopping,Shopping,Expense,3200,Card,Dhaka
TXN0033,2025-09-22,MRT Pass Recharge,Transport,Expense,500,bKash,Dhaka
TXN0034,2025-09-23,Rickshaw Fare,Transport,Expense,80,Cash,Dhaka
TXN0035,2025-09-24,Tuition Income from Student,Freelance,Income,4000,Cash,Dhaka
TXN0036,2025-09-25,Robi Mobile Recharge,Utilities,Expense,299,bKash,Dhaka
TXN0037,2025-09-26,Agora Supermarket,Groceries,Expense,2100,Card,Dhaka
TXN0038,2025-09-27,Foodpanda Delivery,Dining,Expense,420,bKash,Dhaka
TXN0039,2025-09-28,Weekend Street Food,Food & Drinks,Expense,150,Cash,Dhaka
TXN0040,2025-09-29,Bata Shoe Purchase,Shopping,Expense,2800,Card,Dhaka
TXN0041,2025-09-30,Month End Adjustment,Fees,Expense,50,bKash,Dhaka
TXN0042,2025-10-01,Monthly Salary,Salary,Income,65000,Bank Transfer,Dhaka
TXN0043,2025-10-01,Rent Payment,Housing,Expense,15000,Bank Transfer,Dhaka
TXN0044,2025-10-01,Send Money to Mother,Family,Expense,5000,bKash,Dhaka
TXN0045,2025-10-02,DESCO Bill,Utilities,Expense,1380,bKash,Dhaka
TXN0046,2025-10-02,Titas Gas Bill,Utilities,Expense,850,bKash,Dhaka
TXN0047,2025-10-03,Carnival Internet Bill,Utilities,Expense,1200,bKash,Dhaka
TXN0048,2025-10-04,Banglalink Recharge,Utilities,Expense,350,bKash,Dhaka
TXN0049,2025-10-05,Rickshaw to Metro,Transport,Expense,70,Cash,Dhaka
TXN0050,2025-10-05,Office Lunch,Food & Drinks,Expense,150,Cash,Dhaka
TXN0051,2025-10-06,Pathao Bike to Office,Transport,Expense,90,bKash,Dhaka
TXN0052,2025-10-07,Evening CNG,Transport,Expense,180,Cash,Dhaka
TXN0053,2025-10-08,Shwapno Grocery,Groceries,Expense,1650,Card,Dhaka
TXN0054,2025-10-09,KFC Family Meal,Dining,Expense,850,Card,Dhaka
TXN0055,2025-10-10,Weekend Tea and Snacks,Food & Drinks,Expense,60,Cash,Dhaka
TXN0056,2025-10-11,New Market Shopping,Shopping,Expense,1500,Cash,Dhaka
